subject_code,prerequisites,sp51_23,sp52_23,sp53_23,sp51_24,sp52_24,sp53_24
CP1401,,1,1,1,1,1,1
CP1402,,1,1,1,1,1,1
CP1404,CP1401,1,1,1,1,1,1
CP1406,,1,1,1,1,1,1
MA1000,,1,0,1,1,1,0
MA1020,,1,1,1,1,1,1
MA1580,MA1000 OR MA1020,1,0,1,0,0,0
CP1409,,0,1,1,1,1,1
CP1410,"CP1402, CP1409",0,1,1,1,1,1
CP2403,12CP,0,1,1,0,1,1
CP2404,,1,0,1,1,1,0
CP2406,CP1404,1,0,1,1,0,1
CP2409,CP1402,1,0,1,0,1,0
CP2421,"CP1401,MA1580",0,1,0,1,0,1
CP2422,CP1401,0,1,1,0,1,1
CP2423,"CP1401,CP1410",0,1,1,1,0,1
CP2424,"12CP, CP1410",1,0,1,1,1,0
CP3403,"CP2403,CP2404 OR 18CP",1,1,0,1,1,0
CP3405,CP2408,1,1,1,1,1,1
CP3406,"CP1404, 18CP",1,0,1,1,0,1
CP3407,"CP1404, 18CP",1,1,0,1,1,0
CP3414,"CP2422, CP2423",1,1,1,1,1,1
CP3415,CP2424,0,1,0,1,0,1
CP3416,36CP,0,1,0,1,0,1
CP3417,CP2423,1,0,1,0,1,0
CP3418,CP3414,1,1,1,1,1,1
